@relation news_aggregator

@attribute Pendidikan numeric
@attribute Politik numeric
@attribute HukumdanKriminal numeric
@attribute SosialBudaya numeric
@attribute Olahraga numeric
@attribute TeknologidanSains numeric
@attribute Hiburan numeric
@attribute BisnisdanEkonomi numeric
@attribute Kesehatan numeric
@attribute BencanadanKecelakaan numeric
@attribute label {Pendidikan, Politik, HukumdanKriminal, SosialBudaya, Olahraga, TeknologidanSains, Hiburan, BisnisdanEkonomi, Kesehatan, BencanadanKecelakaan}

@data
1,6,15,7,2,2,2,6,2,6,HukumdanKriminal
0,3,20,2,0,4,7,2,2,1,HukumdanKriminal
2,1,12,2,1,0,0,0,0,5,HukumdanKriminal
4,3,21,4,0,0,2,8,0,8,HukumdanKriminal
1,4,19,4,0,6,1,6,1,1,HukumdanKriminal
4,2,11,1,0,2,1,2,0,2,HukumdanKriminal
1,7,25,5,0,2,3,10,3,1,HukumdanKriminal
0,11,33,8,0,1,3,7,1,4,HukumdanKriminal
1,13,29,6,1,0,1,9,0,4,HukumdanKriminal
0,1,10,0,1,1,3,4,0,8,HukumdanKriminal
0,1,4,2,0,0,2,0,0,0,HukumdanKriminal
1,1,6,1,0,1,7,0,0,2,HukumdanKriminal
2,0,7,1,1,2,2,4,4,3,HukumdanKriminal
2,4,24,2,0,1,6,2,2,7,HukumdanKriminal
0,1,8,3,0,1,1,0,0,2,HukumdanKriminal
0,1,6,1,0,2,1,1,1,1,HukumdanKriminal
1,2,17,4,0,0,0,12,0,2,HukumdanKriminal
0,0,15,0,0,0,0,1,1,10,HukumdanKriminal
1,2,11,0,0,0,1,5,0,1,HukumdanKriminal
3,0,21,2,1,1,3,1,1,6,HukumdanKriminal
1,1,14,3,1,0,3,2,1,6,HukumdanKriminal
1,2,24,3,0,0,2,7,0,4,HukumdanKriminal
0,4,10,4,4,1,2,3,0,4,HukumdanKriminal
3,4,18,2,0,3,5,6,0,3,HukumdanKriminal
2,2,10,2,0,2,2,1,1,1,HukumdanKriminal
0,3,12,3,1,1,0,3,3,11,HukumdanKriminal
0,7,11,4,2,1,1,2,0,4,HukumdanKriminal
0,7,17,2,1,1,3,3,0,0,HukumdanKriminal
1,0,8,1,1,0,3,1,1,7,HukumdanKriminal
2,8,18,3,0,1,3,9,2,3,HukumdanKriminal
1,9,33,5,0,0,1,6,2,1,HukumdanKriminal
0,5,23,2,0,0,0,1,1,1,HukumdanKriminal
1,4,24,0,0,0,1,0,3,4,HukumdanKriminal
0,1,20,0,1,0,2,1,1,10,HukumdanKriminal
0,0,11,1,0,1,3,2,0,7,HukumdanKriminal
0,2,14,0,0,0,2,1,2,5,HukumdanKriminal
1,1,11,2,1,0,3,4,1,6,HukumdanKriminal
1,15,24,4,1,1,2,3,0,4,HukumdanKriminal
3,5,18,2,0,0,5,1,2,2,HukumdanKriminal
3,2,18,1,1,1,1,0,1,6,HukumdanKriminal
0,4,13,1,0,0,1,0,0,2,HukumdanKriminal
1,6,14,5,2,2,3,4,0,5,HukumdanKriminal
7,7,19,8,0,0,2,11,1,2,HukumdanKriminal
2,3,29,3,0,1,0,5,2,7,HukumdanKriminal
8,6,9,3,0,1,0,3,0,0,HukumdanKriminal
0,1,10,1,0,3,1,0,1,11,HukumdanKriminal
1,10,5,2,0,1,3,1,0,2,HukumdanKriminal
1,8,21,8,2,1,4,9,1,3,HukumdanKriminal
2,0,5,3,0,2,6,1,0,0,HukumdanKriminal
0,0,4,0,1,0,3,0,1,6,HukumdanKriminal
1,6,11,2,1,1,3,3,0,3,HukumdanKriminal
2,4,23,3,0,1,0,5,0,3,HukumdanKriminal
1,3,26,3,0,0,3,7,0,8,HukumdanKriminal
2,5,22,6,0,1,1,4,1,4,HukumdanKriminal
0,6,8,8,2,1,5,4,0,1,HukumdanKriminal
1,3,15,2,0,0,0,7,0,1,HukumdanKriminal
1,2,10,2,0,2,1,1,1,6,HukumdanKriminal
1,9,6,2,0,1,1,0,0,0,HukumdanKriminal
0,2,18,1,1,0,4,7,0,0,HukumdanKriminal
0,2,22,3,0,0,1,0,0,0,HukumdanKriminal
3,5,28,2,0,0,0,6,2,4,HukumdanKriminal
1,7,15,3,0,1,1,1,1,2,HukumdanKriminal
3,6,17,5,0,3,1,4,1,2,HukumdanKriminal
2,6,22,2,1,0,2,0,1,9,HukumdanKriminal
1,5,29,4,0,0,1,2,1,5,HukumdanKriminal
0,4,11,1,2,1,0,0,2,8,HukumdanKriminal
0,7,7,1,0,2,2,0,0,2,HukumdanKriminal
1,5,12,2,0,0,0,9,1,4,HukumdanKriminal
1,0,13,3,0,0,1,0,0,2,HukumdanKriminal
2,6,16,1,0,0,1,2,3,4,HukumdanKriminal
0,2,10,0,0,1,1,1,0,2,HukumdanKriminal
6,3,13,1,0,0,1,8,1,1,HukumdanKriminal
2,5,20,2,0,1,0,6,2,1,HukumdanKriminal
0,6,20,1,0,0,2,6,2,3,HukumdanKriminal
0,6,18,1,0,2,1,7,0,1,HukumdanKriminal
1,1,18,2,0,1,1,1,6,3,HukumdanKriminal
0,4,18,2,0,0,2,2,0,1,HukumdanKriminal
0,0,6,1,0,0,1,0,1,4,HukumdanKriminal
6,0,9,0,0,0,3,7,0,4,HukumdanKriminal
0,1,12,1,2,0,1,0,0,5,HukumdanKriminal
0,4,18,3,0,1,5,1,0,3,HukumdanKriminal
0,2,8,0,0,0,4,0,1,3,HukumdanKriminal
0,2,9,2,0,3,4,4,0,4,HukumdanKriminal
3,4,19,5,3,0,1,0,0,3,HukumdanKriminal
1,4,6,1,1,1,2,8,0,0,HukumdanKriminal
0,2,10,2,0,0,1,1,0,3,HukumdanKriminal
2,6,26,3,2,1,1,1,1,10,HukumdanKriminal
3,7,30,5,1,0,2,2,1,6,HukumdanKriminal
0,10,10,3,0,1,2,1,0,0,HukumdanKriminal
1,3,27,3,0,0,4,8,3,2,HukumdanKriminal
2,2,16,2,0,2,1,6,1,7,HukumdanKriminal
2,1,16,3,0,0,1,1,0,4,HukumdanKriminal
0,6,10,3,0,1,2,4,1,1,HukumdanKriminal
2,2,11,3,1,2,2,11,1,2,HukumdanKriminal
2,3,14,1,1,2,2,0,0,5,HukumdanKriminal
1,0,8,2,1,1,2,10,0,2,HukumdanKriminal
2,3,20,3,3,2,3,1,1,9,HukumdanKriminal
1,0,7,0,0,0,1,0,0,1,HukumdanKriminal
2,2,22,1,1,0,2,2,2,6,HukumdanKriminal
3,7,12,5,3,4,4,3,0,4,HukumdanKriminal
